"Year","Data","Scenario","Variable","Unit"
1980,338.186595618805,"EMB","Atm. CO2 concentration","ppm"
1981,339.921709656,"EMB","Atm. CO2 concentration","ppm"
1982,341.528838837,"EMB","Atm. CO2 concentration","ppm"
1983,343.021279042,"EMB","Atm. CO2 concentration","ppm"
1984,344.473959517,"EMB","Atm. CO2 concentration","ppm"
1985,345.985713031,"EMB","Atm. CO2 concentration","ppm"
1986,347.553611866,"EMB","Atm. CO2 concentration","ppm"
1987,349.118507863,"EMB","Atm. CO2 concentration","ppm"
1988,350.65940983,"EMB","Atm. CO2 concentration","ppm"
1989,352.167567374,"EMB","Atm. CO2 concentration","ppm"
1990,353.640711734,"EMB","Atm. CO2 concentration","ppm"
1991,355.091734677,"EMB","Atm. CO2 concentration","ppm"
1992,356.565462212,"EMB","Atm. CO2 concentration","ppm"
1993,358.135409689,"EMB","Atm. CO2 concentration","ppm"
1994,359.812925554,"EMB","Atm. CO2 concentration","ppm"
1995,361.499003089,"EMB","Atm. CO2 concentration","ppm"
1996,363.160849465,"EMB","Atm. CO2 concentration","ppm"
1997,364.795247885,"EMB","Atm. CO2 concentration","ppm"
1998,366.417253315,"EMB","Atm. CO2 concentration","ppm"
1999,368.042193471,"EMB","Atm. CO2 concentration","ppm"
2000,369.684171031,"EMB","Atm. CO2 concentration","ppm"
2001,371.376319634,"EMB","Atm. CO2 concentration","ppm"
2002,373.140712671,"EMB","Atm. CO2 concentration","ppm"
2003,374.980121998,"EMB","Atm. CO2 concentration","ppm"
2004,376.891526714,"EMB","Atm. CO2 concentration","ppm"
2005,378.881856188,"EMB","Atm. CO2 concentration","ppm"
2006,380.932213335,"EMB","Atm. CO2 concentration","ppm"
2007,383.025096006,"EMB","Atm. CO2 concentration","ppm"
2008,385.149114608,"EMB","Atm. CO2 concentration","ppm"
2009,387.303885084,"EMB","Atm. CO2 concentration","ppm"
2010,389.497711205,"EMB","Atm. CO2 concentration","ppm"
2011,391.739986927,"EMB","Atm. CO2 concentration","ppm"
2012,394.02831226,"EMB","Atm. CO2 concentration","ppm"
2013,396.359478458,"EMB","Atm. CO2 concentration","ppm"
2014,398.722354276,"EMB","Atm. CO2 concentration","ppm"
2015,401.092344062,"EMB","Atm. CO2 concentration","ppm"
2016,403.475312553,"EMB","Atm. CO2 concentration","ppm"
2017,405.865671168,"EMB","Atm. CO2 concentration","ppm"
2018,408.268279875,"EMB","Atm. CO2 concentration","ppm"
2019,410.672519157,"EMB","Atm. CO2 concentration","ppm"
2020,413.080368207,"EMB","Atm. CO2 concentration","ppm"
2021,415.520795112,"EMB","Atm. CO2 concentration","ppm"
2022,417.991709806,"EMB","Atm. CO2 concentration","ppm"
2023,420.507155964,"EMB","Atm. CO2 concentration","ppm"
2024,423.074474782,"EMB","Atm. CO2 concentration","ppm"
2025,425.670340082,"EMB","Atm. CO2 concentration","ppm"
2026,428.292342947,"EMB","Atm. CO2 concentration","ppm"
2027,430.939220055,"EMB","Atm. CO2 concentration","ppm"
2028,433.601309877,"EMB","Atm. CO2 concentration","ppm"
2029,436.271625252,"EMB","Atm. CO2 concentration","ppm"
2030,438.964146621,"EMB","Atm. CO2 concentration","ppm"
2031,441.673307216,"EMB","Atm. CO2 concentration","ppm"
2032,444.412835709,"EMB","Atm. CO2 concentration","ppm"
2033,447.190897249,"EMB","Atm. CO2 concentration","ppm"
2034,450.014939305,"EMB","Atm. CO2 concentration","ppm"
2035,452.871487226,"EMB","Atm. CO2 concentration","ppm"
2036,455.784441439,"EMB","Atm. CO2 concentration","ppm"
2037,458.733781097,"EMB","Atm. CO2 concentration","ppm"
2038,461.729178362,"EMB","Atm. CO2 concentration","ppm"
2039,464.749928566,"EMB","Atm. CO2 concentration","ppm"
2040,467.797680032,"EMB","Atm. CO2 concentration","ppm"
2041,470.868358461,"EMB","Atm. CO2 concentration","ppm"
2042,473.962889104,"EMB","Atm. CO2 concentration","ppm"
2043,477.07387444,"EMB","Atm. CO2 concentration","ppm"
2044,480.214540798,"EMB","Atm. CO2 concentration","ppm"
2045,483.398739131,"EMB","Atm. CO2 concentration","ppm"
2046,486.61918232,"EMB","Atm. CO2 concentration","ppm"
2047,489.896534368,"EMB","Atm. CO2 concentration","ppm"
2048,493.219609049,"EMB","Atm. CO2 concentration","ppm"
2049,496.591188855,"EMB","Atm. CO2 concentration","ppm"
2050,499.988934553,"EMB","Atm. CO2 concentration","ppm"
2051,503.411319388,"EMB","Atm. CO2 concentration","ppm"
2052,506.854277335,"EMB","Atm. CO2 concentration","ppm"
2053,510.307292372,"EMB","Atm. CO2 concentration","ppm"
2054,513.759307066,"EMB","Atm. CO2 concentration","ppm"
2055,517.241075824,"EMB","Atm. CO2 concentration","ppm"
2056,520.74570041,"EMB","Atm. CO2 concentration","ppm"
2057,524.276036588,"EMB","Atm. CO2 concentration","ppm"
2058,527.816248639,"EMB","Atm. CO2 concentration","ppm"
2059,531.375108345,"EMB","Atm. CO2 concentration","ppm"
2060,534.949860274,"EMB","Atm. CO2 concentration","ppm"
2061,538.529591096,"EMB","Atm. CO2 concentration","ppm"
2062,542.115650279,"EMB","Atm. CO2 concentration","ppm"
2063,545.703419913,"EMB","Atm. CO2 concentration","ppm"
2064,549.27483906,"EMB","Atm. CO2 concentration","ppm"
2065,552.832436726,"EMB","Atm. CO2 concentration","ppm"
2066,556.392614094,"EMB","Atm. CO2 concentration","ppm"
2067,559.951402565,"EMB","Atm. CO2 concentration","ppm"
2068,563.519738513,"EMB","Atm. CO2 concentration","ppm"
2069,567.077133533,"EMB","Atm. CO2 concentration","ppm"
2070,570.60663464,"EMB","Atm. CO2 concentration","ppm"
2071,574.118847867,"EMB","Atm. CO2 concentration","ppm"
2072,577.602944123,"EMB","Atm. CO2 concentration","ppm"
2073,581.051712805,"EMB","Atm. CO2 concentration","ppm"
2074,584.468120117,"EMB","Atm. CO2 concentration","ppm"
2075,587.86748121,"EMB","Atm. CO2 concentration","ppm"
2076,591.211503231,"EMB","Atm. CO2 concentration","ppm"
2077,594.522950321,"EMB","Atm. CO2 concentration","ppm"
2078,597.824740329,"EMB","Atm. CO2 concentration","ppm"
2079,601.071140798,"EMB","Atm. CO2 concentration","ppm"
2080,604.287313657,"EMB","Atm. CO2 concentration","ppm"
2081,607.515438123,"EMB","Atm. CO2 concentration","ppm"
2082,610.680835754,"EMB","Atm. CO2 concentration","ppm"
2083,613.814576439,"EMB","Atm. CO2 concentration","ppm"
2084,616.894004831,"EMB","Atm. CO2 concentration","ppm"
2085,619.919964001,"EMB","Atm. CO2 concentration","ppm"
2086,622.898426053,"EMB","Atm. CO2 concentration","ppm"
2087,625.825106688,"EMB","Atm. CO2 concentration","ppm"
2088,628.697561846,"EMB","Atm. CO2 concentration","ppm"
