"","Variable","Unit","Value","Min","Max","isInteger","parscale","distance","MaxAfterDet","MinAfterDet","MinNotDeterminedBorder","MinBorderLogLikeError","MinKickParmsErrorRangeDet","MinBoundByAuthors","MaxNotDeterminedBorder","MaxBorderLogLikeError","MaxKickParmsErrorRangeDet","MaxBoundByAuthors"
"2","Animal Products Demand.average daily demand per capita in 1980[1]",0,376.215025587086,374.608523894949,377.821527279223,FALSE,0.531547235241443,1.60650169213739,377.821527279223,374.608523894949,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"3","Animal Products Demand.elasticity of demand to GDP[1]",0,0.349012375980477,0.340437938592751,0.357586813368204,FALSE,0.0102854384763791,0.00857443738772651,0.357586813368204,0.340437938592751,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"4","Animal Products Demand.growth rate of socioeconomic effect[1]",0,-4.87065698552652,-5.46580439488912,-4.27550957616392,FALSE,0.155708924924571,0.595147409362597,-4.27550957616392,-5.46580439488912,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"5","Animal Products Demand.initial share of demand from consumption domain[1]",0,0.178579728422547,0.178155151566849,0.179004305278245,FALSE,0.000135456696717184,0.0004245768556983,0.179004305278245,0.178155151566849,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"7","Animal Products Demand.normal sensitivity of personal norm to climate risk[1]",0,-0.406981535128116,-0.42528252978299,-0.388680540473243,FALSE,0.00482703860169258,0.0183009946548735,-0.388680540473243,-0.42528252978299,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"8","Animal Products Demand.range of socioeconomic effect[1]",0,1,0.962720963935912,1.03727903606409,FALSE,0.0112092047970825,0.037279036064088,1.03727903606409,0.962720963935912,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"9","Animal Products Demand.reference GDP per person for socioeconomic effect[1]",0,40000,35000,45000,FALSE,16556.34754065,5000,45000,35000,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,TRUE
"10","Animal Products Demand.sensitivity of demand to relative scarcity[1]",0,0.451123658177203,0.333845982584403,0.568401333770003,FALSE,0.0343669593001839,0.1172776755928,0.568401333770003,0.333845982584403,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"11","Animal Products Demand.sensitivity of personal norm to consumption risk[1]",0,-0.723804346469237,-0.748548142341618,-0.699060550596856,FALSE,0.00881001512855135,0.0247437958723813,-0.699060550596856,-0.748548142341618,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"12","Animal Products Demand.sensitivity of personal norm to social value[1]",0,0.974113071330717,0.948226142661434,1,FALSE,0.0142055567759727,0.025886928669283,1,0.948226142661434,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE
"13","Animal Products Demand.sensitivity of social value perception[1]",0,1.41609954382117,1.35094218052143,1.48125690712091,FALSE,0.021355839742599,0.0651573632997449,1.48125690712091,1.35094218052143,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"14","Animal Products Demand.time horizon for long term perception[1]",0,55.4508307301875,44.7010641319423,66.2005973284327,FALSE,16.1651149328865,10.7497665982452,66.2005973284327,44.7010641319423,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"15","Animal Products Demand.time horizon for short term perception[1]",0,5.52520495175963,1,10.0504099035193,FALSE,9.3059607220521,4.52520495175963,10.0504099035193,1,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE
"16","Animal Products Demand.time to adjust consumption pattern[1]",0,4.43740527243423,4.27143480624857,4.60337573861989,FALSE,0.0377553161386507,0.165970466185657,4.60337573861989,4.27143480624857,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"17","Animal Products Demand.time to adjust desired demand from accessibility[1]",0,1.0258931993514,1,1.0517863987028,FALSE,0.0402602710590815,0.0258931993514,1.0517863987028,1,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE
"18","Animal Products Demand.time to adjust value perception[1]",0,4.38637838836956,3.36857601819192,5.4041807585472,FALSE,0.217058419986553,1.01780237017764,5.4041807585472,3.36857601819192,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"19","Animal Products Demand.time to observe consequences[1]",0,25.0081155809568,21.0558854669241,28.9603456949895,FALSE,1.80650979127893,3.95223011403275,28.9603456949895,21.0558854669241,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"20","Animal Products Demand.time to perceive average consumption[1]",0,2.85717522329896,1.87170557514374,3.84264487145418,FALSE,0.221386440486674,0.985469648155217,3.84264487145418,1.87170557514374,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"21","Climate Risk Perception.additional time horizon of reference climate extremes exposure[1]",0,51.3273572077805,26.3226216223453,76.3320927932157,FALSE,6.30821642836023,25.0047355854352,76.3320927932157,26.3226216223453,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"25","Climate Risk Perception.minimum reference for SLR flooding exposure[1]",0,10,7.62770363141781,12.3722963685822,FALSE,1.11152213166943,2.37229636858219,12.3722963685822,7.62770363141781,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"26","Climate Risk Perception.normal additional time horizon of reference temperature anomaly[1]",0,10.0947438528098,10,10.1894877056196,FALSE,0.95487211522766,0.0947438528098008,10.1894877056196,10,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE
"27","Climate Risk Perception.normal sensitivity to climate information[1]",0,0.428871284003314,0.393146774377286,0.464595793629342,FALSE,0.00698852612603036,0.0357245096260277,0.464595793629342,0.393146774377286,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"28","Climate Risk Perception.sensitivity to climatic events exposure[1]",0,0.430081026703445,0.409740267555219,0.450421785851671,FALSE,0.00417092828329144,0.0203407591482255,0.450421785851671,0.409740267555219,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"29","Climate Risk Perception.time to perceive climate extremes exposure[1]",0,4.96484260562089,3.79678295591715,6.13290225532463,FALSE,0.236839490299439,1.16805964970374,6.13290225532463,3.79678295591715,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"30","Climate Risk Perception.time to perceive SLR flooding exposure[1]",0,3.58579044095443,1,6.17158088190886,FALSE,1.13751084031372,2.58579044095443,6.17158088190886,1,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE
"31","Climate Risk Perception.time to report and perceive climate information[1]",0,6.83612517029621,4.82081922142894,8.85143111916348,FALSE,0.331280280652607,2.01530594886727,8.85143111916348,4.82081922142894,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"32","Total Food Demand.average daily demand per capita in 1980[1]",0,2466.16104927555,2462.57163005861,2469.75046849249,FALSE,0.975352468997433,3.58941921694486,2469.75046849249,2462.57163005861,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"33","Total Food Demand.elasticity of demand to GDP[1]",0,0.254358958772649,0.248637846466764,0.260080071078534,FALSE,0.00596888083272335,0.00572111230588543,0.260080071078534,0.248637846466764,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"34","Total Food Demand.growth rate of socioeconomic effect[1]",0,-4.64895981794011,-6.61732869950912,-2.6805909363711,FALSE,0.808306642839332,1.96836888156901,-2.6805909363711,-6.61732869950912,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"35","Total Food Demand.range of socioeconomic effect[1]",0,1,0.793459577422363,1.20654042257764,FALSE,0.255287380727753,0.206540422577637,1.20654042257764,0.793459577422363,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"37","Total Food Demand.sensitivity of demand to scarcity[1]",0,0.511723624302329,0.023447248604658,1,FALSE,0.232813328834674,0.488276375697671,1,0.023447248604658,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE
"38","Total Food Demand.sensitivity of personal norm to climate risk[1]",0,-0.134328332771508,-0.144441938276476,-0.12421472726654,FALSE,0.00451355130771508,0.0101136055049684,-0.12421472726654,-0.144441938276476,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"39","Total Food Demand.sensitivity of personal norm to consumption risk[1]",0,-0.797522111650804,-0.940883595997166,-0.654160627304442,FALSE,0.056074428513981,0.143361484346362,-0.654160627304442,-0.940883595997166,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"40","Total Food Demand.sensitivity of personal norm to social value[1]",0,0.935938976487161,0.871877952974322,1,FALSE,0.067678800548821,0.064061023512839,1,0.871877952974322,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE
"41","Total Food Demand.sensitivity of social value perception[1]",0,1.21544240291107,1.10928255524941,1.32160225057273,FALSE,0.0931598278856001,0.106159847661665,1.32160225057273,1.10928255524941,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"42","Total Food Demand.time horizon for long term perception[1]",0,55.5391539349965,33.6547146856626,77.4235931843304,FALSE,26.882079376751,21.8844392493339,77.4235931843304,33.6547146856626,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"43","Total Food Demand.time horizon for short term perception[1]",0,2.36815898181088,1,3.73631796362176,FALSE,3.14327921871066,1.36815898181088,3.73631796362176,1,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE
