"Year","Data","Scenario","Variable","Unit"
1980,0.322433591653699,"EMB","Surface Temperature Anomaly","C"
1981,0.313611588997,"EMB","Surface Temperature Anomaly","C"
1982,0.301464612093,"EMB","Surface Temperature Anomaly","C"
1983,0.267456475901,"EMB","Surface Temperature Anomaly","C"
1984,0.272173928136,"EMB","Surface Temperature Anomaly","C"
1985,0.310129028774,"EMB","Surface Temperature Anomaly","C"
1986,0.347425247593,"EMB","Surface Temperature Anomaly","C"
1987,0.380927143585,"EMB","Surface Temperature Anomaly","C"
1988,0.41968053264,"EMB","Surface Temperature Anomaly","C"
1989,0.462991613906,"EMB","Surface Temperature Anomaly","C"
1990,0.502174583265,"EMB","Surface Temperature Anomaly","C"
1991,0.494937796042,"EMB","Surface Temperature Anomaly","C"
1992,0.401451377078,"EMB","Surface Temperature Anomaly","C"
1993,0.379643322853,"EMB","Surface Temperature Anomaly","C"
1994,0.447170744168,"EMB","Surface Temperature Anomaly","C"
1995,0.517824886512,"EMB","Surface Temperature Anomaly","C"
1996,0.567195337175,"EMB","Surface Temperature Anomaly","C"
1997,0.607658127381,"EMB","Surface Temperature Anomaly","C"
1998,0.645033583017,"EMB","Surface Temperature Anomaly","C"
1999,0.681608439692,"EMB","Surface Temperature Anomaly","C"
2000,0.717595818135,"EMB","Surface Temperature Anomaly","C"
2001,0.749618310986,"EMB","Surface Temperature Anomaly","C"
2002,0.778714690994,"EMB","Surface Temperature Anomaly","C"
2003,0.800025105119,"EMB","Surface Temperature Anomaly","C"
2004,0.81680663216,"EMB","Surface Temperature Anomaly","C"
2005,0.831633000507,"EMB","Surface Temperature Anomaly","C"
2006,0.846641212438,"EMB","Surface Temperature Anomaly","C"
2007,0.863888327319,"EMB","Surface Temperature Anomaly","C"
2008,0.884421401161,"EMB","Surface Temperature Anomaly","C"
2009,0.905895935761,"EMB","Surface Temperature Anomaly","C"
2010,0.932026982098,"EMB","Surface Temperature Anomaly","C"
2011,0.961905048166,"EMB","Surface Temperature Anomaly","C"
2012,0.993938782573,"EMB","Surface Temperature Anomaly","C"
2013,1.0277401778,"EMB","Surface Temperature Anomaly","C"
2014,1.0608738729,"EMB","Surface Temperature Anomaly","C"
2015,1.08807229319,"EMB","Surface Temperature Anomaly","C"
2016,1.111986431,"EMB","Surface Temperature Anomaly","C"
2017,1.13935201975,"EMB","Surface Temperature Anomaly","C"
2018,1.1678330073,"EMB","Surface Temperature Anomaly","C"
2019,1.1935232104,"EMB","Surface Temperature Anomaly","C"
